Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
D,35,127.5,0.26,46.58571429,0,15597,2781.488684,3153
D,35,127.5,0.26,48.42857143,0,18387,2754.524175,3084
D,35,127.5,0.26,50.27142857,0,18886,2720.110399,3055
D,35,127.5,0.26,52.11428571,0,21214,2696.001744,3074
D,35,127.5,0.26,53.95714286,0,25631,2675.456791,3026
D,35,127.5,0.26,55.8,0,20939,2685.808253,3217
D,35,127.5,0.26,57.03333333,0,24681,2662.168146,3323
D,35,127.5,0.26,58.26666667,0,16252,2655.517044,3103
D,35,127.5,0.26,59.5,0,17670,2647.653877,3010
D,35,127.5,0.26,60.73333333,0,21598,2633.634179,3014
D,35,127.5,0.26,61.96666667,0,21095,2599.541313,2933
D,35,127.5,0.26,63.2,0,21901,2585.853705,3046
D,35,127.5,0.26,62.6,0,19189,2611.08088,3206
D,35,127.5,0.26,62,0,21377,2613.82397,3072
D,35,127.5,0.26,61.4,1,19055,2662.339176,3001
D,35,127.5,0.26,60.8,0,20171,2636.855337,2947
D,35,127.5,0.26,60.2,1,26907,2645.337905,3066
D,35,127.5,0.26,59.6,1,21462,2648.398751,3005
D,35,127.5,0.26,58.18333333,1,23037,2680.087642,3037
D,35,127.5,0.26,56.76666667,0,20817,2705.448864,3166
D,35,127.5,0.26,55.35,0,14842,2715.91012,3012
D,35,127.5,0.26,53.93333333,0,19322,2709.020754,3040
D,35,127.5,0.26,52.51666667,1,12143,2702.792967,2966
D,35,127.5,0.26,51.1,0,19094,2684.940819,3124
D,35,127.5,0.26,51.1,0,21201,2664.557049,3052
D,35,127.5,0.26,51.1,1,27571,2662.897211,3126
D,35,127.5,0.26,51.1,1,20757,2675.987522,3110
A,34.5,,0.335,57.7,1,18771,2628.462842,3465
A,34.5,,0.335,57.7,0,21574,2658.141188,3274
A,34.5,,0.335,57.6,0,19535,2642.079498,3354
A,34.5,,0.335,57.5,0,18700,2664.25246,3312
A,34.5,,0.335,57.4,0,23210,2608.851099,3480
A,34.5,,0.335,57.3,0,16467,2666.773972,3358
A,34.5,,0.335,57.2,0,16865,2686.6504,3409
A,34.5,,0.335,57.1,0,17180,2681.957509,3313
A,34.5,,0.335,57,0,13662,2706.88113,3669
A,34.5,,0.335,56.85,0,16685,2720.791669,3721
A,34.5,,0.335,56.7,0,21276,2655.162578,3428
A,34.5,,0.335,56.55,1,25886,2697.066522,3442
A,34.5,,0.335,56.4,1,16492,2690.18415,3555
A,34.5,,0.335,56.25,1,17575,2703.210014,3410
A,34.5,,0.335,56.1,1,16320,2663.861213,3477
A,34.5,,0.335,56.31666667,0,19406,2614.133618,3369
A,34.5,,0.335,56.53333333,1,16925,2642.027415,3537
A,34.5,,0.335,56.75,1,23369,2700.009757,3536
A,34.5,,0.335,56.96666667,0,13020,2646.127112,3490
A,34.5,,0.335,57.18333333,0,14052,2686.270139,3410
A,34.5,,0.335,57.4,0,16507,2673.239535,3528
A,34.5,,0.335,58.03333333,1,17555,2712.382683,3497
A,34.5,,0.335,58.66666667,0,16519,2697.628246,3395
A,34.5,,0.335,59.3,0,19636,2656.242208,3491
A,34.5,,0.335,59.93333333,0,18957,2686.159941,3467
A,34.5,,0.335,60.56666667,0,14061,2737.907546,3372
A,34.5,,0.335,61.2,0,18113,2734.653177,3449
A,34.5,,0.335,61.2,0,19630,2635.704075,3364
A,34.5,,0.335,61.2,0,25873,2656.166815,3275
A,34.5,,0.335,61.2,1,20204,2732.28133,3378
B,34.5,,0.19,58.3,0,19530,2703.575064,3270
B,34.5,,0.19,58.3,0,14654,2756.963491,3343
B,34.5,,0.19,59.08571429,0,21100,2773.85455,3312
B,34.5,,0.19,59.87142857,0,13333,2701.661817,3268
B,34.5,,0.19,60.65714286,0,17394,2667.72571,3280
B,34.5,,0.19,61.44285714,0,18976,2702.403984,3267
B,34.5,,0.19,62.22857143,0,15492,2683.407501,3349
B,34.5,,0.19,63.01428571,0,15703,2661.610839,3304
B,34.5,,0.19,63.8,0,19010,2658.622251,3335
B,34.5,,0.19,63.15,0,26330,2615.743373,3514
B,34.5,,0.19,62.5,0,18306,2607.59292,3279
B,34.5,,0.19,61.85,0,22748,2650.851108,3386
B,34.5,,0.19,61.2,0,18759,2621.644917,3314
