Treatment,Num,Date,mean_3rd_lower,,,,,,,
C,29,5,2699.956009,,,,,,,
C,30,5,2862.910011,,,,,,,
D,1,5,2615.290262,,,,,,,
D,2,5,2738.682517,,,,,,,
D,3,5,2806.880884,,,,,,,
D,4,5,2727.712866,,,,,,,
D,5,5,2713.673374,,,,,,,
D,6,5,2749.193571,,,,,,,
D,7,5,2971.942308,,,,,,,
D,8,5,2929.124285,,,,,,,
D,9,5,2680.34355,,,,,,,
D,10,5,2818.100274,,,,,,,
D,11,5,2558.342113,,,,,,,
D,12,5,2569.602784,,,,,,,
D,13,5,2761.380507,,,,,,,
D,14,5,2927.11024,,,,,,,
D,15,5,2886.224617,,,,,,,
D,16,5,2754.148269,,,,,,,
D,17,5,2897.100201,,,,,,,
D,18,5,2773.587612,,,,,,,
D,19,5,3035.829959,,,,,,,
D,20,5,3127.304862,,,,,,,
D,21,5,3070.788151,,,,,,,
D,22,5,2994.666379,,,,,,,
D,23,5,3029.336848,,,,,,,
D,24,5,2886.441196,,,,,,,
D,25,5,2840.700056,,,,,,,
D,26,5,2763.65656,,,,,,,
D,27,5,2947.148167,,,,,,,
D,28,5,2873.40678,,,,,,,
D,29,5,2918.873997,,,,,,,
D,30,5,2801.806374,,,,,,,
A,1,6,2740.436629,,,,,,,
A,2,6,2730.256504,,,,,,,
A,3,6,2755.254399,,,,,,,
A,4,6,2879.522214,,,,,,,
A,5,6,2899.366547,,,,,,,
A,6,6,3059.92642,,,,,,,
A,7,6,2726.894286,,,,,,,
A,8,6,2882.488257,,,,,,,
A,9,6,2734.279777,,,,,,,
A,10,6,2678.249336,,,,,,,
A,11,6,2708.520567,,,,,,,
A,12,6,2773.697577,,,,,,,
A,13,6,2738.848611,,,,,,,
A,14,6,2821.871008,,,,,,,
A,15,6,2658.399748,,,,,,,
A,16,6,2731.045389,,,,,,,
A,17,6,2713.154578,,,,,,,
A,18,6,2755.380226,,,,,,,
A,19,6,2728.479224,,,,,,,
A,20,6,2896.426893,,,,,,,
A,21,6,2722.07541,,,,,,,
A,22,6,2752.37469,,,,,,,
A,23,6,2725.088582,,,,,,,
A,24,6,2822.66671,,,,,,,
A,25,6,2849.44261,,,,,,,
A,26,6,2823.71234,,,,,,,
A,27,6,2806.411147,,,,,,,
A,28,6,2761.259249,,,,,,,
A,29,6,3063.240977,,,,,,,
A,30,6,2792.353684,,,,,,,
B,1,6,2846.513589,,,,,,,
B,2,6,2870.560863,,,,,,,
B,3,6,2871.725546,,,,,,,
B,4,6,2886.23098,,,,,,,
B,5,6,2824.406636,,,,,,,
B,6,6,2859.080742,,,,,,,
B,7,6,2860.514912,,,,,,,
B,8,6,2960.768055,,,,,,,
B,9,6,2829.355039,,,,,,,
B,10,6,2778.247321,,,,,,,
B,11,6,2756.198337,,,,,,,
B,12,6,2860.997836,,,,,,,
B,13,6,2811.172608,,,,,,,
B,14,6,2781.052429,,,,,,,
B,15,6,2790.376068,,,,,,,
B,16,6,3017.681004,,,,,,,
B,17,6,2813.961564,,,,,,,
B,18,6,2798.090403,,,,,,,
B,19,6,2744.831228,,,,,,,
B,20,6,2915.0243,,,,,,,
B,21,6,2899.529274,,,,,,,
B,22,6,2927.093543,,,,,,,
B,23,6,2901.228669,,,,,,,
B,24,6,2924.523144,,,,,,,
B,25,6,2920.579523,,,,,,,
B,26,6,3036.589694,,,,,,,
B,27,6,3017.267424,,,,,,,
B,28,6,3023.440845,,,,,,,
B,29,6,2974.773885,,,,,,,
B,30,6,3082.082272,,,,,,,
C,1,6,3364.157114,,,,,,,
C,2,6,2919.965757,,,,,,,
C,3,6,3115.547814,,,,,,,
C,4,6,2991.777329,,,,,,,
C,5,6,3371.852231,,,,,,,
C,6,6,3050.605084,,,,,,,
C,7,6,3173.217799,,,,,,,
C,8,6,3254.079794,,,,,,,
C,9,6,3547.358625,,,,,,,
C,10,6,3159.457252,,,,,,,
C,11,6,3372.39678,,,,,,,
C,12,6,3426.341444,,,,,,,
C,13,6,3494.969674,,,,,,,
C,14,6,3490.090768,,,,,,,
C,15,6,3021.275665,,,,,,,
C,16,6,3433.990964,,,,,,,
C,17,6,3270.444203,,,,,,,
C,18,6,3424.272102,,,,,,,
C,19,6,3530.433863,,,,,,,
C,20,6,3396.650124,,,,,,,
C,21,6,3061.976842,,,,,,,
C,22,6,2960.449733,,,,,,,
C,23,6,3088.747505,,,,,,,
C,24,6,3014.607896,,,,,,,
C,25,6,2917.15617,,,,,,,
C,26,6,2945.696353,,,,,,,
C,27,6,2844.59971,,,,,,,
C,28,6,3058.651474,,,,,,,
C,29,6,2947.697467,,,,,,,
C,30,6,2999.845029,,,,,,,
D,1,6,2866.65908,,,,,,,
D,2,6,3215.870756,,,,,,,
D,3,6,3298.985411,,,,,,,
D,4,6,2981.199317,,,,,,,
D,5,6,3202.414897,,,,,,,
D,6,6,3010.281555,,,,,,,
D,7,6,3236.892937,,,,,,,
D,8,6,3207.707466,,,,,,,
D,9,6,3150.3863,,,,,,,
D,10,6,3200.474753,,,,,,,
D,11,6,3014.327726,,,,,,,
D,12,6,3010.921016,,,,,,,
D,13,6,3154.305945,,,,,,,
D,14,6,3207.659339,,,,,,,
D,15,6,3204.374735,,,,,,,
D,16,6,3192.536374,,,,,,,
